"FileName","Extension","FileCategory","RelativePath","SizeKB","Modified"
".gitignore",".gitignore","Other Review Required",".gitignore","0.58","6/23/2026 5:03:27 PM"
"app.py",".py","Streamlit Entry Point","app.py","0.79","6/23/2026 11:22:37 PM"
"beba.md",".md","Documentation","beba.md","4.53","6/23/2026 10:41:40 PM"
"contract_claims_center.py",".py","Python Source Code","contract_claims_center.py","0.37","6/23/2026 5:03:27 PM"
"dashboard.py",".py","Streamlit Entry Point","dashboard.py","220.75","6/24/2026 1:58:43 AM"
"dr.ps1",".ps1","PowerShell Script","dr.ps1","23.61","6/24/2026 3:28:55 AM"
"README.md",".md","Documentation","README.md","4.43","6/23/2026 5:03:27 PM"
"requirements.txt",".txt","Text File","requirements.txt","0.17","6/23/2026 5:03:27 PM"
"RUN_APP.bat",".bat","Batch Script","RUN_APP.bat","0.16","6/23/2026 9:49:56 PM"
"RUN_FULL_PROJECT_NO_GIT_SYNC.bat",".bat","Batch Script","RUN_FULL_PROJECT_NO_GIT_SYNC.bat","0.53","6/23/2026 5:03:27 PM"
