"Folder","FileCount","TotalSizeKB","MainFileTypes"
"","10","255.92",".py:3 ; .bat:2 ; .md:2 ; .gitignore:1 ; .txt:1 ; .ps1:1"
".streamlit","1","0.27",".toml:1"
"assets","3","7.97",".md:1 ; .svg:1 ; .png:1"
"projects\_PROJECT_TEMPLATE","1","0.3",".json:1"
"projects\_PROJECT_TEMPLATE\data\import_templates","8","2.98",".csv:8"
"projects\Alexandria_Logistics_Park","1","0.61",".json:1"
"projects\Alexandria_Logistics_Park\2-contracts","1","84",".db:1"
"projects\Alexandria_Logistics_Park\data\import_templates","8","4.06",".csv:8"
"projects\Alexandria_Logistics_Park\logs","1","10.11",".log:1"
"projects\Cairo_East_Hospital","1","0.59",".json:1"
"projects\Cairo_East_Hospital\2-contracts","1","84",".db:1"
"projects\Cairo_East_Hospital\data\import_templates","8","4.04",".csv:8"
"projects\Cairo_East_Hospital\logs","1","10.11",".log:1"
"projects\Delta_Water_Treatment_Plant","1","0.61",".json:1"
"projects\Delta_Water_Treatment_Plant\2-contracts","1","84",".db:1"
"projects\Delta_Water_Treatment_Plant\data\import_templates","8","4.07",".csv:8"
"projects\Delta_Water_Treatment_Plant\logs","1","10.11",".log:1"
"projects\New_Capital_Roads_Package","1","0.61",".json:1"
"projects\New_Capital_Roads_Package\2-contracts","1","84",".db:1"
"projects\New_Capital_Roads_Package\data\import_templates","8","4.07",".csv:8"
"projects\New_Capital_Roads_Package\logs","1","10.11",".log:1"
"projects\Nile_Bridges_Upgrade","1","0.59",".json:1"
"projects\Nile_Bridges_Upgrade\2-contracts","1","84",".db:1"
"projects\Nile_Bridges_Upgrade\data\import_templates","8","4.03",".csv:8"
"projects\Nile_Bridges_Upgrade\logs","1","10.11",".log:1"
"projects\Red_Sea_Resort_Phase_2","1","0.6",".json:1"
"projects\Red_Sea_Resort_Phase_2\2-contracts","1","84",".db:1"
"projects\Red_Sea_Resort_Phase_2\data\import_templates","8","4.08",".csv:8"
"projects\Red_Sea_Resort_Phase_2\logs","1","10.11",".log:1"
"projects\Suez","1","0.55",".json:1"
"projects\Suez\2-contracts","1","84",".db:1"
"projects\Suez\logs","1","24.88",".log:1"
"projects\The-BIG","1","0.55",".json:1"
"projects\The-BIG\2-contracts","2","4253.47",".pdf:1 ; .db:1"
"projects\The-BIG\2-contracts\evidence","3","0.25",".csv:3"
"projects\The-BIG\2-contracts\source","2","4169.7",".md:1 ; .pdf:1"
"projects\The-BIG\3-evidence","3","0.27",".csv:3"
"projects\The-BIG\4-notes","3","0.33",".md:3"
"projects\The-BIG\bl","7","2.15",".csv:7"
"projects\The-BIG\bl\fixed","7","2.15",".csv:7"
"projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","13","3.58",".csv:13"
"projects\The-BIG\data\import_templates","24","950.45",".csv:24"
"projects\The-BIG\logs","1","19",".log:1"
"scripts","6","4.72",".py:6"
"src\construction_system","13","69.65",".py:13"
"src\exports","1","0.03",".py:1"
"src\reports","1","0.03",".py:1"
"tests","9","5.43",".py:9"
"tools","4","12.97",".py:2 ; .json:1 ; .ps1:1"
