"CsvFile","CurrentFolder","RelativePath","Delimiter","ColumnOrder","ColumnName","ColumnCount","FileSizeKB","Modified"
"delay_events.csv","projects\Cairo_East_Hospital\data\import_templates","projects\Cairo_East_Hospital\data\import_templates\delay_events.csv",",","1","event_id","10","0.76","6/23/2026 5:10:52 PM"
"delay_events.csv","projects\Cairo_East_Hospital\data\import_templates","projects\Cairo_East_Hospital\data\import_templates\delay_events.csv",",","2","event_description","10","0.76","6/23/2026 5:10:52 PM"
"delay_events.csv","projects\Cairo_East_Hospital\data\import_templates","projects\Cairo_East_Hospital\data\import_templates\delay_events.csv",",","3","event_type","10","0.76","6/23/2026 5:10:52 PM"
"delay_events.csv","projects\Cairo_East_Hospital\data\import_templates","projects\Cairo_East_Hospital\data\import_templates\delay_events.csv",",","4","start_date","10","0.76","6/23/2026 5:10:52 PM"
"delay_events.csv","projects\Cairo_East_Hospital\data\import_templates","projects\Cairo_East_Hospital\data\import_templates\delay_events.csv",",","5","end_date","10","0.76","6/23/2026 5:10:52 PM"
"delay_events.csv","projects\Cairo_East_Hospital\data\import_templates","projects\Cairo_East_Hospital\data\import_templates\delay_events.csv",",","6","duration_days","10","0.76","6/23/2026 5:10:52 PM"
"delay_events.csv","projects\Cairo_East_Hospital\data\import_templates","projects\Cairo_East_Hospital\data\import_templates\delay_events.csv",",","7","responsibility","10","0.76","6/23/2026 5:10:52 PM"
"delay_events.csv","projects\Cairo_East_Hospital\data\import_templates","projects\Cairo_East_Hospital\data\import_templates\delay_events.csv",",","8","entitlement","10","0.76","6/23/2026 5:10:52 PM"
"delay_events.csv","projects\Cairo_East_Hospital\data\import_templates","projects\Cairo_East_Hospital\data\import_templates\delay_events.csv",",","9","affected_activities","10","0.76","6/23/2026 5:10:52 PM"
"delay_events.csv","projects\Cairo_East_Hospital\data\import_templates","projects\Cairo_East_Hospital\data\import_templates\delay_events.csv",",","10","status","10","0.76","6/23/2026 5:10:52 PM"
