"CsvFile","CurrentFolder","RelativePath","Delimiter","ColumnOrder","ColumnName","ColumnCount","FileSizeKB","Modified"
"MEP Civil Logic.csv","projects\The-BIG\bl","projects\The-BIG\bl\MEP Civil Logic.csv",",","1","project_id","14","0.3","6/15/2026 10:54:56 PM"
"MEP Civil Logic.csv","projects\The-BIG\bl","projects\The-BIG\bl\MEP Civil Logic.csv",",","2","MEP Activity ID","14","0.3","6/15/2026 10:54:56 PM"
"MEP Civil Logic.csv","projects\The-BIG\bl","projects\The-BIG\bl\MEP Civil Logic.csv",",","3","Building / Zone","14","0.3","6/15/2026 10:54:56 PM"
"MEP Civil Logic.csv","projects\The-BIG\bl","projects\The-BIG\bl\MEP Civil Logic.csv",",","4","MEP Activity","14","0.3","6/15/2026 10:54:56 PM"
"MEP Civil Logic.csv","projects\The-BIG\bl","projects\The-BIG\bl\MEP Civil Logic.csv",",","5","Related Civil Activity ID","14","0.3","6/15/2026 10:54:56 PM"
"MEP Civil Logic.csv","projects\The-BIG\bl","projects\The-BIG\bl\MEP Civil Logic.csv",",","6","Related Civil Activity Name","14","0.3","6/15/2026 10:54:56 PM"
"MEP Civil Logic.csv","projects\The-BIG\bl","projects\The-BIG\bl\MEP Civil Logic.csv",",","7","Predecessor Activity ID(s)","14","0.3","6/15/2026 10:54:56 PM"
"MEP Civil Logic.csv","projects\The-BIG\bl","projects\The-BIG\bl\MEP Civil Logic.csv",",","8","Predecessor Details","14","0.3","6/15/2026 10:54:56 PM"
"MEP Civil Logic.csv","projects\The-BIG\bl","projects\The-BIG\bl\MEP Civil Logic.csv",",","9","Successor Activity ID(s)","14","0.3","6/15/2026 10:54:56 PM"
"MEP Civil Logic.csv","projects\The-BIG\bl","projects\The-BIG\bl\MEP Civil Logic.csv",",","10","Civil Original Duration","14","0.3","6/15/2026 10:54:56 PM"
"MEP Civil Logic.csv","projects\The-BIG\bl","projects\The-BIG\bl\MEP Civil Logic.csv",",","11","MEP Inserted Duration Days","14","0.3","6/15/2026 10:54:56 PM"
"MEP Civil Logic.csv","projects\The-BIG\bl","projects\The-BIG\bl\MEP Civil Logic.csv",",","12","Civil Duration After MEP Insertion","14","0.3","6/15/2026 10:54:56 PM"
"MEP Civil Logic.csv","projects\The-BIG\bl","projects\The-BIG\bl\MEP Civil Logic.csv",",","13","Relationship Basis","14","0.3","6/15/2026 10:54:56 PM"
"MEP Civil Logic.csv","projects\The-BIG\bl","projects\The-BIG\bl\MEP Civil Logic.csv",",","14","Match Score","14","0.3","6/15/2026 10:54:56 PM"
