"CsvFile","CurrentFolder","RelativePath","Delimiter","ColumnOrder","ColumnName","ColumnCount","FileSizeKB","Modified"
"01-project_metadata_template.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\01-project_metadata_template.csv",",","1","project_id","15","0.21","6/15/2026 10:54:55 PM"
"01-project_metadata_template.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\01-project_metadata_template.csv",",","2","Project Name","15","0.21","6/15/2026 10:54:55 PM"
"01-project_metadata_template.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\01-project_metadata_template.csv",",","3","Contract No","15","0.21","6/15/2026 10:54:55 PM"
"01-project_metadata_template.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\01-project_metadata_template.csv",",","4","Employer","15","0.21","6/15/2026 10:54:55 PM"
"01-project_metadata_template.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\01-project_metadata_template.csv",",","5","Contractor","15","0.21","6/15/2026 10:54:55 PM"
"01-project_metadata_template.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\01-project_metadata_template.csv",",","6","Consultant","15","0.21","6/15/2026 10:54:55 PM"
"01-project_metadata_template.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\01-project_metadata_template.csv",",","7","Baseline Name","15","0.21","6/15/2026 10:54:55 PM"
"01-project_metadata_template.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\01-project_metadata_template.csv",",","8","Impacted Update Name","15","0.21","6/15/2026 10:54:55 PM"
"01-project_metadata_template.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\01-project_metadata_template.csv",",","9","Data Date","15","0.21","6/15/2026 10:54:55 PM"
"01-project_metadata_template.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\01-project_metadata_template.csv",",","10","Prepared By","15","0.21","6/15/2026 10:54:55 PM"
"01-project_metadata_template.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\01-project_metadata_template.csv",",","11","Report Revision","15","0.21","6/15/2026 10:54:55 PM"
"01-project_metadata_template.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\01-project_metadata_template.csv",",","12","Report Date","15","0.21","6/15/2026 10:54:55 PM"
"01-project_metadata_template.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\01-project_metadata_template.csv",",","13","Delay Category","15","0.21","6/15/2026 10:54:55 PM"
"01-project_metadata_template.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\01-project_metadata_template.csv",",","14","Primary Cause Family","15","0.21","6/15/2026 10:54:55 PM"
"01-project_metadata_template.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\01-project_metadata_template.csv",",","15","Primary Claim Position","15","0.21","6/15/2026 10:54:55 PM"
