"CsvFile","CurrentFolder","RelativePath","Delimiter","ColumnOrder","ColumnName","ColumnCount","FileSizeKB","Modified"
"02- master_activity_steel_analysis.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\02- master_activity_steel_analysis.csv",",","1","project_id","32","0.59","6/15/2026 10:54:55 PM"
"02- master_activity_steel_analysis.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\02- master_activity_steel_analysis.csv",",","2","Activity ID","32","0.59","6/15/2026 10:54:55 PM"
"02- master_activity_steel_analysis.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\02- master_activity_steel_analysis.csv",",","3","Activity Name","32","0.59","6/15/2026 10:54:55 PM"
"02- master_activity_steel_analysis.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\02- master_activity_steel_analysis.csv",",","4","Resource ID","32","0.59","6/15/2026 10:54:55 PM"
"02- master_activity_steel_analysis.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\02- master_activity_steel_analysis.csv",",","5","Register Building / Zone Allocation","32","0.59","6/15/2026 10:54:55 PM"
"02- master_activity_steel_analysis.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\02- master_activity_steel_analysis.csv",",","6","Drive Activity Dates","32","0.59","6/15/2026 10:54:55 PM"
"02- master_activity_steel_analysis.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\02- master_activity_steel_analysis.csv",",","7","BL Start","32","0.59","6/15/2026 10:54:55 PM"
"02- master_activity_steel_analysis.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\02- master_activity_steel_analysis.csv",",","8","BL Finish","32","0.59","6/15/2026 10:54:55 PM"
"02- master_activity_steel_analysis.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\02- master_activity_steel_analysis.csv",",","9","Start","32","0.59","6/15/2026 10:54:55 PM"
"02- master_activity_steel_analysis.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\02- master_activity_steel_analysis.csv",",","10","Finish","32","0.59","6/15/2026 10:54:55 PM"
