"CsvFile","CurrentFolder","RelativePath","Delimiter","ColumnOrder","ColumnName","ColumnCount","FileSizeKB","Modified"
"04- p6_activity_export.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\04- p6_activity_export.csv",",","1","project_id","20","0.75","6/20/2026 5:38:08 AM"
"04- p6_activity_export.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\04- p6_activity_export.csv",",","2","Activity ID","20","0.75","6/20/2026 5:38:08 AM"
"04- p6_activity_export.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\04- p6_activity_export.csv",",","3","Activity Name","20","0.75","6/20/2026 5:38:08 AM"
"04- p6_activity_export.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\04- p6_activity_export.csv",",","4","WBS","20","0.75","6/20/2026 5:38:08 AM"
"04- p6_activity_export.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\04- p6_activity_export.csv",",","5","Baseline Start","20","0.75","6/20/2026 5:38:08 AM"
"04- p6_activity_export.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\04- p6_activity_export.csv",",","6","Baseline Finish","20","0.75","6/20/2026 5:38:08 AM"
"04- p6_activity_export.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\04- p6_activity_export.csv",",","7","Start","20","0.75","6/20/2026 5:38:08 AM"
"04- p6_activity_export.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\04- p6_activity_export.csv",",","8","Finish","20","0.75","6/20/2026 5:38:08 AM"
"04- p6_activity_export.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\04- p6_activity_export.csv",",","9","Actual Start","20","0.75","6/20/2026 5:38:08 AM"
"04- p6_activity_export.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\04- p6_activity_export.csv",",","10","Actual Finish","20","0.75","6/20/2026 5:38:08 AM"
"04- p6_activity_export.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\04- p6_activity_export.csv",",","11","Remaining Duration","20","0.75","6/20/2026 5:38:08 AM"
"04- p6_activity_export.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\04- p6_activity_export.csv",",","12","Total Float","20","0.75","6/20/2026 5:38:08 AM"
"04- p6_activity_export.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\04- p6_activity_export.csv",",","13","Free Float","20","0.75","6/20/2026 5:38:08 AM"
"04- p6_activity_export.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\04- p6_activity_export.csv",",","14","Critical","20","0.75","6/20/2026 5:38:08 AM"
"04- p6_activity_export.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\04- p6_activity_export.csv",",","15","Longest Path","20","0.75","6/20/2026 5:38:08 AM"
"04- p6_activity_export.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\04- p6_activity_export.csv",",","16","Predecessors","20","0.75","6/20/2026 5:38:08 AM"
"04- p6_activity_export.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\04- p6_activity_export.csv",",","17","Successors","20","0.75","6/20/2026 5:38:08 AM"
"04- p6_activity_export.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\04- p6_activity_export.csv",",","18","Remaining Units","20","0.75","6/20/2026 5:38:08 AM"
"04- p6_activity_export.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\04- p6_activity_export.csv",",","19","Budgeted Units","20","0.75","6/20/2026 5:38:08 AM"
"04- p6_activity_export.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\04- p6_activity_export.csv",",","20","Physical % Complete","20","0.75","6/20/2026 5:38:08 AM"
