"CsvFile","CurrentFolder","RelativePath","Delimiter","ColumnOrder","ColumnName","ColumnCount","FileSizeKB","Modified"
"07- ifc_conflict.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\07- ifc_conflict.csv",",","1","project_id","11","0.14","6/15/2026 10:54:55 PM"
"07- ifc_conflict.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\07- ifc_conflict.csv",",","2","Activity ID","11","0.14","6/15/2026 10:54:55 PM"
"07- ifc_conflict.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\07- ifc_conflict.csv",",","3","Activity Name","11","0.14","6/15/2026 10:54:55 PM"
"07- ifc_conflict.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\07- ifc_conflict.csv",",","4","Original Duration","11","0.14","6/15/2026 10:54:55 PM"
"07- ifc_conflict.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\07- ifc_conflict.csv",",","5","Start","11","0.14","6/15/2026 10:54:55 PM"
"07- ifc_conflict.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\07- ifc_conflict.csv",",","6","Finish","11","0.14","6/15/2026 10:54:55 PM"
"07- ifc_conflict.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\07- ifc_conflict.csv",",","7","Approved structural slab shop drawings","11","0.14","6/15/2026 10:54:55 PM"
"07- ifc_conflict.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\07- ifc_conflict.csv",",","8","Re-Start","11","0.14","6/15/2026 10:54:55 PM"
"07- ifc_conflict.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\07- ifc_conflict.csv",",","9","Finish.1","11","0.14","6/15/2026 10:54:55 PM"
"07- ifc_conflict.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\07- ifc_conflict.csv",",","10","Delayed days","11","0.14","6/15/2026 10:54:55 PM"
"07- ifc_conflict.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\07- ifc_conflict.csv",",","11","Note","11","0.14","6/15/2026 10:54:55 PM"
