"CsvFile","CurrentFolder","RelativePath","Delimiter","ColumnOrder","ColumnName","ColumnCount","FileSizeKB","Modified"
"rft_qtys.csv","projects\The-BIG\data\import_templates","projects\The-BIG\data\import_templates\rft_qtys.csv",",","1","project_id","22","25.09","6/15/2026 10:54:55 PM"
"rft_qtys.csv","projects\The-BIG\data\import_templates","projects\The-BIG\data\import_templates\rft_qtys.csv",",","2","Resource ID","22","25.09","6/15/2026 10:54:55 PM"
"rft_qtys.csv","projects\The-BIG\data\import_templates","projects\The-BIG\data\import_templates\rft_qtys.csv",",","3","Activity ID","22","25.09","6/15/2026 10:54:55 PM"
"rft_qtys.csv","projects\The-BIG\data\import_templates","projects\The-BIG\data\import_templates\rft_qtys.csv",",","4","Activity Name","22","25.09","6/15/2026 10:54:55 PM"
"rft_qtys.csv","projects\The-BIG\data\import_templates","projects\The-BIG\data\import_templates\rft_qtys.csv",",","5","Original Duration","22","25.09","6/15/2026 10:54:55 PM"
"rft_qtys.csv","projects\The-BIG\data\import_templates","projects\The-BIG\data\import_templates\rft_qtys.csv",",","6","Planned Start","22","25.09","6/15/2026 10:54:55 PM"
"rft_qtys.csv","projects\The-BIG\data\import_templates","projects\The-BIG\data\import_templates\rft_qtys.csv",",","7","Planned Finish","22","25.09","6/15/2026 10:54:55 PM"
"rft_qtys.csv","projects\The-BIG\data\import_templates","projects\The-BIG\data\import_templates\rft_qtys.csv",",","8","Start","22","25.09","6/15/2026 10:54:55 PM"
"rft_qtys.csv","projects\The-BIG\data\import_templates","projects\The-BIG\data\import_templates\rft_qtys.csv",",","9","Finish","22","25.09","6/15/2026 10:54:55 PM"
"rft_qtys.csv","projects\The-BIG\data\import_templates","projects\The-BIG\data\import_templates\rft_qtys.csv",",","10","Budgeted Units","22","25.09","6/15/2026 10:54:55 PM"
"rft_qtys.csv","projects\The-BIG\data\import_templates","projects\The-BIG\data\import_templates\rft_qtys.csv",",","11","Actual Units","22","25.09","6/15/2026 10:54:55 PM"
"rft_qtys.csv","projects\The-BIG\data\import_templates","projects\The-BIG\data\import_templates\rft_qtys.csv",",","12","Remaining Units","22","25.09","6/15/2026 10:54:55 PM"
"rft_qtys.csv","projects\The-BIG\data\import_templates","projects\The-BIG\data\import_templates\rft_qtys.csv",",","13","Units % Complete","22","25.09","6/15/2026 10:54:55 PM"
"rft_qtys.csv","projects\The-BIG\data\import_templates","projects\The-BIG\data\import_templates\rft_qtys.csv",",","14","Budgeted Units / Time","22","25.09","6/15/2026 10:54:55 PM"
"rft_qtys.csv","projects\The-BIG\data\import_templates","projects\The-BIG\data\import_templates\rft_qtys.csv",",","15","Drive Activity Dates","22","25.09","6/15/2026 10:54:55 PM"
"rft_qtys.csv","projects\The-BIG\data\import_templates","projects\The-BIG\data\import_templates\rft_qtys.csv",",","16","Default Units / Time","22","25.09","6/15/2026 10:54:55 PM"
"rft_qtys.csv","projects\The-BIG\data\import_templates","projects\The-BIG\data\import_templates\rft_qtys.csv",",","17","Price / Unit","22","25.09","6/15/2026 10:54:55 PM"
"rft_qtys.csv","projects\The-BIG\data\import_templates","projects\The-BIG\data\import_templates\rft_qtys.csv",",","18","Remaining Units / Time","22","25.09","6/15/2026 10:54:55 PM"
"rft_qtys.csv","projects\The-BIG\data\import_templates","projects\The-BIG\data\import_templates\rft_qtys.csv",",","19","Max Units/Time","22","25.09","6/15/2026 10:54:55 PM"
"rft_qtys.csv","projects\The-BIG\data\import_templates","projects\The-BIG\data\import_templates\rft_qtys.csv",",","20","Calculate costs from units","22","25.09","6/15/2026 10:54:55 PM"
"rft_qtys.csv","projects\The-BIG\data\import_templates","projects\The-BIG\data\import_templates\rft_qtys.csv",",","21","Budgeted Cost","22","25.09","6/15/2026 10:54:55 PM"
"rft_qtys.csv","projects\The-BIG\data\import_templates","projects\The-BIG\data\import_templates\rft_qtys.csv",",","22","Spreadsheet Field","22","25.09","6/15/2026 10:54:55 PM"
