project_id,Ref No,"Date (Request | Due | Delay beyond Due)
Cut off date: 6-May-2026",Type,Subject,Main Purpose,Key Requests,Scope Impact,Responsibility,Affected Activities,Start Dependency,Sequence Impact,Commercial Impact,Risk Type,Risk Owner,Delay Risk,EOT Potential,Claim Strength,Required Actions,Unnamed: 18
The Big -P.01-UP-20-April-26,STEEL PATCH 1,Request 27-Sep-25; contractual due 27-Oct-25; part 1 delivered 27-Oct-25; part 2 delivered 09-Dec-25; late portion delay = 43 days,Employer free-issue steel supply status,"1st steel patch supply: 587 tons requested, 587 tons delivered, 0 pending",Record split delivery of Employer-supplied steel and late second delivery,Supply full 587 tons by contractual due date; part 2 of 440.2 tons was delivered late,No scope change; procurement/free-issue material may delay affect reinforcement works,"Employer/Client for free-issue steel delivery if requisition was valid; Contractor for requisition, storage, and mitigation",Foundation reinforcement and steel installation activities dependent on first patch quantities,Steel needed before reinforcement fixing and related foundation casting sequence,"Medium - first part on time, but 440.2 tons arrived 43 days after due date",Possible prolongation/disruption if affected activities waited for part 2; no direct claim without critical path proof,Employer-supplied material / procurement delay,Employer/Client if late supply caused critical delay; Contractor if request/programme was late or workfront not ready,Medium,Conditional / Moderate if specific reinforcement activities were delayed,Moderate if delivery notes and programme show critical shortage,Link steel request to approved programme; keep delivery notes; show which activities lacked steel; record mitigation and any resequencing,
The Big -P.01-UP-20-April-26,STEEL PATCH 2,Request 26-Nov-25; contractual due 26-Dec-25; part 1 delivered 13-Feb-26 with 49-day delay; part 2 delivered as of 05-MAY-26 with delay = 130 days significant delay beyond due date,Employer free-issue steel supply status,"2nd steel patch supply: 726 tons requested, 726 tons delivered, 0 tons pending","Record full delivery of the second Employer-supplied steel patch, including the late balance delivery",Confirm complete delivery of the remaining 354.9 tons and close the open steel shortage,No scope change; supply delay may have affected reinforcement and downstream concrete works before completion,Employer/Client for late free-issue steel delivery if requisition was valid; Contractor for mitigation and records,"Reinforcement fixing, foundation/structural concrete sequence, and dependent successor activities",Steel availability was required before reinforcement completion and casting,Delay/interruptions may have affected sequence until full delivery on 05-May-26,"Potential prolongation, disruption, idle resources, and resequencing cost if critical impact occurred before delivery completion",Employer-supplied material / procurement delay,"Employer/Client for late delivery; Contractor for timely requests, programme linkage, and mitigation",Closed / Delivered late,Potentially recoverable for the delay period up to 05-May-26 if critical path and notice requirements are proven,Moderate to strong if critical impact and notices are documented,"Update delivery log, close shortage tracker, preserve delay analysis and correspondence, and quantify any impacted activities/costs up to 05-May-26",
The Big -P.01-UP-20-April-26,STEEL PATCH 3,Request 06-Jan-26; contractual due 05-Feb-26; no delivery as of 06-MAY-26; pending 512 tons; delay = 90 days,Employer free-issue steel supply status,"3rd steel patch supply: 512 tons requested, 0 delivered, 512 tons pending",Record complete non-delivery of requested Employer-supplied steel patch,Supply full 512 tons urgently or issue revised delivery commitment and mitigation instruction,No scope change; full material shortage may stop related reinforcement works,"Employer/Client for non-delivery if requisition was valid; Contractor for readiness, mitigation, and notices",Reinforcement works and all successor concrete/casting activities requiring third patch steel,Steel required before affected reinforcement works can start or continue,High - complete non-delivery creates direct start dependency risk,"Potential prolongation, idle resources, resequencing, acceleration, and possible EOT/prolongation cost if critical",Employer-supplied material / procurement delay,Employer/Client if late supply blocks ready critical activities; Contractor if request or readiness is disputed,High,High conditional on critical path and timely claim compliance,Strong if workfront readiness and absence of steel are proven,"Escalate delivery notice; preserve EOT/prolongation rights; attach request, due date, pending quantity, affected activities, manpower/plant standby, and programme impact",
The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,
The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,
The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,
The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,
The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,
The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,
The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,
The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,
The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,
The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,
The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,
The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,
The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,
