"File","CurrentFolder","SizeKB","Imports","Classes","Functions","StreamlitHits","Modified"
"app.py","","0.79","import subprocess ; import sys ; import os","","main","1","6/23/2026 11:22:37 PM"
"contract_claims_center.py","","0.37","from datetime import datetime","","","4","6/23/2026 5:03:27 PM"
"dashboard.py","","220.75","from plotly.subplots import make_subplots ; from datetime import datetime, timedelta ; import json ; import os ; import sys ; import base64 ; from pathlib import Path ; from construction_system.project_catalog import ProjectCatalog ; from construction_system.project_context import ProjectContext ; from construction_system.database import ProjectDatabase ; from construction_system.importers import DataImporter ; from construction_system.analytics import ProjectAnalytics ; from construction_system.steel_delay_tia import SteelDelayTIA ; from construction_system.contract_matcher import ClaimsIntelligence ; from construction_system.letters_auto_ingest import LettersIntelligence","","get_project_context ; get_project_data ; get_analytics ; render_metric_card ; create_gauge_chart ; create_donut_chart ; create_horizontal_bar ; create_bubble_scatter ; create_radar_chart ; create_gantt_timeline ; create_heatmap ; create_quadrant_scatter ; create_ev_bar_chart ; create_evm_trend ; color_status ; render_top_nav ; render_portfolio ; render_project_dashboard ; render_wbs ; render_activities ; render_contracts ; render_payments ; render_scurve ; render_risks ; render_delay_tia ; render_claims ; render_letters ; render_output_studio ; render_lineage ; render_validation ; render_footer ; main","296","6/24/2026 1:58:43 AM"
"scripts\evaluate_contract_letters.py","scripts","0.37","import argparse ; import sys ; from pathlib import Path","","evaluate","0","6/23/2026 5:03:28 PM"
"scripts\evaluate_delay_tia.py","scripts","1.04","import argparse ; import sys ; from pathlib import Path ; from construction_system.project_catalog import ProjectCatalog ; from construction_system.project_context import ProjectContext ; from construction_system.steel_delay_tia import SteelDelayTIA","","evaluate","0","6/23/2026 5:03:28 PM"
"scripts\evaluate_output_studio.py","scripts","0.52","import argparse ; import sys ; from pathlib import Path","","evaluate","0","6/23/2026 5:03:28 PM"
"scripts\generate_html_report.py","scripts","0.03","","","","0","6/23/2026 5:03:28 PM"
"scripts\import_csv_data.py","scripts","1.81","import argparse ; import sys ; from pathlib import Path ; from construction_system.project_catalog import ProjectCatalog ; from construction_system.project_context import ProjectContext ; from construction_system.database import ProjectDatabase ; from construction_system.importers import DataImporter","","import_data","0","6/23/2026 5:03:28 PM"
"scripts\init_database.py","scripts","0.95","import argparse ; import sys ; from pathlib import Path ; from construction_system.project_catalog import ProjectCatalog ; from construction_system.project_context import ProjectContext ; from construction_system.database import ProjectDatabase","","init_db","0","6/23/2026 5:03:28 PM"
"src\construction_system\ai_prompts.py","src\construction_system","0.06","","","","0","6/23/2026 5:03:27 PM"
"src\construction_system\ai_schemas.py","src\construction_system","0.05","","","","0","6/23/2026 5:03:27 PM"
"src\construction_system\analytics.py","src\construction_system","8.69","from typing import Dict, List, Optional, Tuple ; from datetime import datetime, timedelta","ProjectAnalytics","__init__ ; calculate_progress_metrics ; calculate_cost_metrics ; calculate_risk_metrics ; calculate_delay_metrics ; calculate_s_curve_data ; get_dashboard_summary ; portfolio_summary","0","6/23/2026 5:03:28 PM"
"src\construction_system\contract_matcher.py","src\construction_system","10.77","import sqlite3 ; import re ; from typing import Dict, List, Optional, Tuple ; from datetime import datetime","ClaimsIntelligence","__init__ ; load_contract_clauses ; load_claims_data ; evaluate_issue ; _find_relevant_clauses ; _gather_evidence ; _find_related_delays ; _find_related_payments ; _determine_responsibility ; _generate_recommendation ; batch_evaluate","0","6/23/2026 5:03:27 PM"
"src\construction_system\database.py","src\construction_system","11.64","import sqlite3 ; import json ; from pathlib import Path ; from datetime import datetime ; from typing import List, Dict, Optional, Any","ProjectDatabase","__init__ ; _get_connection ; _init_tables ; insert_dataframe ; query ; execute ; get_project_data ; clear_project_data ; log_validation ; log_lineage","0","6/23/2026 5:03:27 PM"
"src\construction_system\importers.py","src\construction_system","8.45","from pathlib import Path ; from typing import Dict, List, Optional, Tuple ; from datetime import datetime","DataImporter","__init__ ; _add_warning ; load_csv ; load_excel ; _validate_and_clean ; get_warnings ; load_all_project_data","0","6/23/2026 5:03:27 PM"
"src\construction_system\letters_auto_ingest.py","src\construction_system","9.65","import os ; import re ; from pathlib import Path ; from typing import Dict, List, Optional, Tuple ; from datetime import datetime ; import sqlite3","LettersIntelligence","__init__ ; scan_inbox ; _process_file ; _classify_document ; _detect_document_type ; link_to_claims ; link_to_delays ; create_letters_register ; export_register ; run_full_ingest","0","6/23/2026 5:03:27 PM"
"src\construction_system\openai_gateway.py","src\construction_system","0.05","","","","0","6/23/2026 5:03:28 PM"
"src\construction_system\project_catalog.py","src\construction_system","5.46","import os ; import json ; import uuid ; from datetime import datetime ; from pathlib import Path ; from typing import Dict, List, Optional","ProjectCatalog","__init__ ; _refresh ; _ensure_manifest ; _create_standard_folders ; get_catalog ; get_project ; get_project_by_folder ; get_all_project_ids ; create_project","10","6/23/2026 5:03:27 PM"
"src\construction_system\project_context.py","src\construction_system","4.12","from pathlib import Path ; from typing import Optional ; from .project_catalog import ProjectCatalog ; from datetime import datetime","ProjectContext","__init__ ; project_display_name ; status ; sector ; currency ; get_data_file ; get_source_file ; get_output_file ; log","0","6/23/2026 5:03:27 PM"
"src\construction_system\reporting.py","src\construction_system","0.05","","","","0","6/23/2026 5:03:27 PM"
"src\construction_system\steel_delay_tia.py","src\construction_system","10.09","from typing import Dict, List, Optional, Tuple ; from datetime import datetime, timedelta","SteelDelayTIA","__init__ ; load_baseline_data ; load_impacted_data ; calculate_steel_availability ; detect_first_negative_availability ; identify_affected_activities ; calculate_delay_windows ; analyze_concurrency ; generate_tia_summary ; run_full_analysis","0","6/23/2026 5:03:27 PM"
