"CsvFile","RelativePath","ErrorType","Details"
"activities.csv","projects\Alexandria_Logistics_Park\data\import_templates\activities.csv","Irregular Preview Row","Row 2 has 12 columns. Expected 11"
"activities.csv","projects\Alexandria_Logistics_Park\data\import_templates\activities.csv","Irregular Preview Row","Row 3 has 12 columns. Expected 11"
"activities.csv","projects\Alexandria_Logistics_Park\data\import_templates\activities.csv","Irregular Preview Row","Row 7 has 12 columns. Expected 11"
"wbs.csv","projects\Alexandria_Logistics_Park\data\import_templates\wbs.csv","Irregular Preview Row","Row 3 has 6 columns. Expected 5"
"wbs.csv","projects\Alexandria_Logistics_Park\data\import_templates\wbs.csv","Irregular Preview Row","Row 7 has 6 columns. Expected 5"
"activities.csv","projects\Cairo_East_Hospital\data\import_templates\activities.csv","Irregular Preview Row","Row 2 has 12 columns. Expected 11"
"activities.csv","projects\Cairo_East_Hospital\data\import_templates\activities.csv","Irregular Preview Row","Row 3 has 12 columns. Expected 11"
"activities.csv","projects\Cairo_East_Hospital\data\import_templates\activities.csv","Irregular Preview Row","Row 7 has 12 columns. Expected 11"
"wbs.csv","projects\Cairo_East_Hospital\data\import_templates\wbs.csv","Irregular Preview Row","Row 3 has 6 columns. Expected 5"
"wbs.csv","projects\Cairo_East_Hospital\data\import_templates\wbs.csv","Irregular Preview Row","Row 7 has 6 columns. Expected 5"
"activities.csv","projects\Delta_Water_Treatment_Plant\data\import_templates\activities.csv","Irregular Preview Row","Row 2 has 12 columns. Expected 11"
"activities.csv","projects\Delta_Water_Treatment_Plant\data\import_templates\activities.csv","Irregular Preview Row","Row 3 has 12 columns. Expected 11"
"activities.csv","projects\Delta_Water_Treatment_Plant\data\import_templates\activities.csv","Irregular Preview Row","Row 7 has 12 columns. Expected 11"
"wbs.csv","projects\Delta_Water_Treatment_Plant\data\import_templates\wbs.csv","Irregular Preview Row","Row 3 has 6 columns. Expected 5"
"wbs.csv","projects\Delta_Water_Treatment_Plant\data\import_templates\wbs.csv","Irregular Preview Row","Row 7 has 6 columns. Expected 5"
"activities.csv","projects\New_Capital_Roads_Package\data\import_templates\activities.csv","Irregular Preview Row","Row 2 has 12 columns. Expected 11"
"activities.csv","projects\New_Capital_Roads_Package\data\import_templates\activities.csv","Irregular Preview Row","Row 3 has 12 columns. Expected 11"
"activities.csv","projects\New_Capital_Roads_Package\data\import_templates\activities.csv","Irregular Preview Row","Row 7 has 12 columns. Expected 11"
"wbs.csv","projects\New_Capital_Roads_Package\data\import_templates\wbs.csv","Irregular Preview Row","Row 3 has 6 columns. Expected 5"
"wbs.csv","projects\New_Capital_Roads_Package\data\import_templates\wbs.csv","Irregular Preview Row","Row 7 has 6 columns. Expected 5"
"activities.csv","projects\Nile_Bridges_Upgrade\data\import_templates\activities.csv","Irregular Preview Row","Row 2 has 12 columns. Expected 11"
"activities.csv","projects\Nile_Bridges_Upgrade\data\import_templates\activities.csv","Irregular Preview Row","Row 3 has 12 columns. Expected 11"
"activities.csv","projects\Nile_Bridges_Upgrade\data\import_templates\activities.csv","Irregular Preview Row","Row 7 has 12 columns. Expected 11"
"wbs.csv","projects\Nile_Bridges_Upgrade\data\import_templates\wbs.csv","Irregular Preview Row","Row 3 has 6 columns. Expected 5"
"wbs.csv","projects\Nile_Bridges_Upgrade\data\import_templates\wbs.csv","Irregular Preview Row","Row 7 has 6 columns. Expected 5"
"activities.csv","projects\Red_Sea_Resort_Phase_2\data\import_templates\activities.csv","Irregular Preview Row","Row 2 has 12 columns. Expected 11"
