"WarningType","Details","Path"
"Duplicate File Name","File exists 3 times.","README.md"
"Duplicate File Name","File exists 9 times.","project_manifest.json"
"Duplicate File Name","File exists 8 times.","contract_claims.db"
"Duplicate File Name","File exists 8 times.","activities.csv"
"Duplicate File Name","File exists 8 times.","contracts.csv"
"Duplicate File Name","File exists 8 times.","delay_events.csv"
"Duplicate File Name","File exists 8 times.","payments.csv"
"Duplicate File Name","File exists 8 times.","risks.csv"
"Duplicate File Name","File exists 8 times.","steel_status.csv"
"Duplicate File Name","File exists 8 times.","s_curve.csv"
"Duplicate File Name","File exists 8 times.","wbs.csv"
"Duplicate File Name","File exists 8 times.","system.log"
"Duplicate File Name","File exists 2 times.","Overall Contract.pdf"
"Duplicate File Name","File exists 2 times.","BL critical path.csv"
"Duplicate File Name","File exists 2 times.","BL float bath.csv"
"Duplicate File Name","File exists 2 times.","Bl Longest bath.csv"
"Duplicate File Name","File exists 2 times.","BL Schedule.csv"
"Duplicate File Name","File exists 2 times.","MEP Activities.csv"
"Duplicate File Name","File exists 2 times.","MEP Civil Logic.csv"
"Duplicate File Name","File exists 2 times.","MEP Schedule.csv"
