Actual Duration,Activity ID,Activity Name,WBS,project_id,Original Duration,Remaining Duration,BL Project Start,BL Project Finish,Start,Finish,Free Float,Total Float,Variance - BL1 Nonlabor Units,Variance - BL Project Nonlabor Units,Actual Nonlabor Units,Remaining Nonlabor Units,Predecessors,Successors,Budgeted Nonlabor Units,Activity % Complete,Critical,Longest Path
0,,,,The Big -P.01-UP-20-April-26,577,577,11-Sep-25,10-Apr-27,11-Sep-25,10-Apr-27,0,0,0,0,0,1124,,,1124,,,
0,,,,The Big -P.01-UP-20-April-26,577,577,11-Sep-25,10-Apr-27,11-Sep-25,10-Apr-27,0,0,0,0,0,30,,,30,,,
0,,,,The Big -P.01-UP-20-April-26,577,577,11-Sep-25,10-Apr-27,11-Sep-25,10-Apr-27,0,0,0,0,0,0,,,0,,,
0,KD-MS-1000,Project Start Date,Approved Baseline.KD.MI,The Big -P.01-UP-20-April-26,0,0,11-Sep-25,,11-Sep-25*,,0,0,0,0,0,0,,"KD-MS-1010, KD-MS-1020, P-MS-1020, P-MS-1010, P-MS-1030, P-MS-1040, P-MS-1050, P-MS-1000, KD-MOB-1000, KD-MOB-1010, KD-MOB-1020, P-MS-1060",0,0%,Yes,Yes
0,KD-MS-1010,Contract Agreement,Approved Baseline.KD.MI,The Big -P.01-UP-20-April-26,0,0,11-Sep-25,,11-Sep-25,,0,6,0,0,0,0,KD-MS-1000,"KD-MOB-1000, KD-MOB-1010, KD-MOB-1020, E-DR-1000",0,0%,No,No
0,KD-MS-1020,IFC Drawing Package,Approved Baseline.KD.MI,The Big -P.01-UP-20-April-26,0,0,11-Sep-25,,11-Sep-25,,0,13,0,0,0,0,KD-MS-1000,E-DR-1000,0,0%,No,No
0,KD-MS-1060,New Activity,Approved Baseline.KD.MI,The Big -P.01-UP-20-April-26,5,5,11-Sep-25,15-Sep-25,11-Sep-25,15-Sep-25,572,572,0,0,0,0,,,0,0%,No,No
0,KD-MS-1040,Ground Works Finish Date,Approved Baseline.KD.MI,The Big -P.01-UP-20-April-26,0,0,,11-May-26,,11-May-26*,4,0,0,0,0,0,"CON-B01-GR-1090, CON-B02-GR-1100, CON-B04-GR-1080, CON-B03-GR-1080",CON-B04-1ST-1000,0,0%,Yes,No
0,KD-MS-1050,Project Finish Date,Approved Baseline.KD.MI,The Big -P.01-UP-20-April-26,0,0,,10-Apr-27,,10-Apr-27*,0,0,0,0,0,0,HO-1000,,0,0%,Yes,Yes
0,,,,The Big -P.01-UP-20-April-26,15,15,11-Sep-25,28-Sep-25,11-Sep-25,28-Sep-25,0,5,0,0,0,30,,,30,,,
0,KD-MOB-1000,Surveying Works,Approved Baseline.KD.MO,The Big -P.01-UP-20-April-26,15,15,11-Sep-25,28-Sep-25,11-Sep-25,28-Sep-25,0,5,0,0,0,0,"KD-MS-1000, KD-MS-1010","CON-B04-WT-1000, KD-MOB-1010",0,0%,No,No
0,KD-MOB-1010,Equipment Mobilization,Approved Baseline.KD.MO,The Big -P.01-UP-20-April-26,15,15,11-Sep-25,28-Sep-25,11-Sep-25,28-Sep-25,0,5,0,0,0,0,"KD-MS-1000, KD-MS-1010, KD-MOB-1000","CON-B04-WT-1000, KD-MOB-1020",0,0%,No,No
0,KD-MOB-1020,Site Preparation,Approved Baseline.KD.MO,The Big -P.01-UP-20-April-26,15,15,11-Sep-25,28-Sep-25,11-Sep-25,28-Sep-25,0,5,0,0,0,30,"KD-MS-1000, KD-MS-1010, KD-MOB-1010","CON-EW-B01-1000, CON-B04-WT-1000",30,0%,No,No
0,,,,The Big -P.01-UP-20-April-26,270,270,11-Sep-25,7-Jun-26,11-Sep-25,7-Jun-26,0,265,0,0,0,0,,,0,,,
0,,,,The Big -P.01-UP-20-April-26,60,60,11-Sep-25,9-Nov-25,11-Sep-25,9-Nov-25,0,13,0,0,0,0,,,0,,,
