Actual Duration,Activity ID,Activity Name,WBS,project_id,Original Duration,Remaining Duration,BL Project Start,BL Project Finish,Start,Finish,Free Float,Total Float,Variance - BL1 Nonlabor Units,Variance - BL Project Nonlabor Units,Actual Nonlabor Units,Remaining Nonlabor Units,Predecessors,Successors,Budgeted Nonlabor Units,Activity % Complete,Critical,Longest Path
0.0,KD-MS-1000,Project Start Date,Approved Baseline.KD.MI,The Big -P.01-UP-20-April-26,0.0,0.0,11-Sep-25,,11-Sep-25*,,0.0,0.0,0.0,0.0,0.0,0.0,,"KD-MS-1010, KD-MS-1020, P-MS-1020, P-MS-1010, P-MS-1030, P-MS-1040, P-MS-1050, P-MS-1000, KD-MOB-1000, KD-MOB-1010, KD-MOB-1020, P-MS-1060",0.0,0%,Yes,Yes
0.0,P-MS-1020,Submittal for Soil Replacement,Approved Baseline.P.MS.SS,The Big -P.01-UP-20-April-26,18.0,18.0,14-Sep-25,4-Oct-25,14-Sep-25,4-Oct-25,0.0,0.0,0.0,0.0,0.0,0.0,KD-MS-1000,"P-MA-1010, P-MA-1010",0.0,0%,Yes,Yes
0.0,P-MS-1040,Submittal for Waterproofing,Approved Baseline.P.MS.SS,The Big -P.01-UP-20-April-26,18.0,18.0,23-Sep-25,14-Oct-25,23-Sep-25,14-Oct-25,0.0,0.0,0.0,0.0,0.0,0.0,KD-MS-1000,"P-MA-1040, P-MA-1040",0.0,0%,Yes,Yes
0.0,P-MS-1050,Submittal for cold applied damp-proofing,Approved Baseline.P.MS.SS,The Big -P.01-UP-20-April-26,18.0,18.0,23-Sep-25,14-Oct-25,23-Sep-25,14-Oct-25,0.0,0.0,0.0,0.0,0.0,0.0,KD-MS-1000,"P-MA-1050, P-MA-1050",0.0,0%,Yes,Yes
0.0,P-MA-1010,Approval for Soil Replacement,Approved Baseline.P.MS.SA,The Big -P.01-UP-20-April-26,10.0,10.0,5-Oct-25,16-Oct-25,5-Oct-25,16-Oct-25,0.0,0.0,0.0,0.0,0.0,0.0,"P-MS-1020, P-MS-1020",P-MPOS-1010,0.0,0%,Yes,Yes
0.0,P-MA-1040,Approval for Waterproofing,Approved Baseline.P.MS.SA,The Big -P.01-UP-20-April-26,10.0,10.0,15-Oct-25,26-Oct-25,15-Oct-25,26-Oct-25,0.0,0.0,0.0,0.0,0.0,0.0,"P-MS-1040, P-MS-1040",P-MPOS-1040,0.0,0%,Yes,Yes
0.0,P-MA-1050,Approval for cold applied damp-proofing,Approved Baseline.P.MS.SA,The Big -P.01-UP-20-April-26,10.0,10.0,15-Oct-25,26-Oct-25,15-Oct-25,26-Oct-25,0.0,0.0,0.0,0.0,0.0,0.0,"P-MS-1050, P-MS-1050",P-MPOS-1050,0.0,0%,Yes,Yes
0.0,P-MPOS-1010,P.O for  Soil Replacement,Approved Baseline.P.PC.PO,The Big -P.01-UP-20-April-26,2.0,2.0,18-Oct-25,19-Oct-25,18-Oct-25,19-Oct-25,0.0,0.0,0.0,0.0,0.0,0.0,P-MA-1010,P-MDEL-1010,0.0,0%,Yes,Yes
0.0,P-MPOS-1040,P.O for  Waterproofing,Approved Baseline.P.PC.PO,The Big -P.01-UP-20-April-26,2.0,2.0,27-Oct-25,28-Oct-25,27-Oct-25,28-Oct-25,0.0,0.0,0.0,0.0,0.0,0.0,P-MA-1040,P-MDEL-1040,0.0,0%,Yes,Yes
0.0,P-MPOS-1050,P.O for cold applied damp-proofing,Approved Baseline.P.PC.PO,The Big -P.01-UP-20-April-26,2.0,2.0,27-Oct-25,28-Oct-25,27-Oct-25,28-Oct-25,0.0,0.0,0.0,0.0,0.0,0.0,P-MA-1050,P-MDEL-1050,0.0,0%,Yes,Yes
0.0,P-MDEL-1010,Delivery for Soil Replacement,Approved Baseline.P.PC.DS,The Big -P.01-UP-20-April-26,2.0,2.0,27-Oct-25,28-Oct-25,27-Oct-25,28-Oct-25,0.0,0.0,0.0,0.0,0.0,0.0,P-MPOS-1010,"CON-EW-B01-1000, CON-EW-B02-1000, CON-EW-B03-1000, CON-EW-B04-1000",0.0,0%,Yes,Yes
0.0,P-MDEL-1040,Delivery for Waterproofing,Approved Baseline.P.PC.DS,The Big -P.01-UP-20-April-26,28.0,28.0,29-Oct-25,25-Nov-25,29-Oct-25,25-Nov-25,0.0,0.0,0.0,0.0,0.0,0.0,P-MPOS-1040,"CON-B01-FOOT-1030, CON-B02-FOOT-1030, CON-B04-FOOT-1030, CON-B03-FOOT-1030, CON-B04-WT-1050, CON-B02-SOG-1020, CON-B01-SOG-1020, CON-B04-SOG-1020, CON-B03-SOG-1020",0.0,0%,Yes,Yes
