project_id,MEP Activity ID,Building / Zone,MEP Activity,Related Civil Activity ID,Related Civil Activity Name,Predecessor Activity ID(s),Predecessor Details,Successor Activity ID(s),Civil Original Duration,MEP Inserted Duration Days,Civil Duration After MEP Insertion,Relationship Basis,Match Score
The Big -P.01-UP-20-April-26,MEP-B01-001,B01,Installation of Sleeves for basement (1) Slab (+210m),CON-B01-SOG-1040,Shuttering & RFT for S.O.G (B01) (Sog),"CON-B01-SOG-1030, CON-B01-SOG-1030, E-APP-B01-SOG-1010, E-APP-B01-SOG-1000, P-MDEL-1150","CON-B01-SOG-1030: SS 5, CON-B01-SOG-1030: FF, E-APP-B01-SOG-1010: FS, E-APP-B01-SOG-1000: FS, P-MDEL-1150: FS","CON-B01-SOG-1050, CON-B01-SOG-1050, CON-B02-SOG-1040, AB-SUB-B01-SOG-1000",15,2.0,17.0,Civil predecessor/successor logic read from relationship file; falls back to BL Schedule predecessor/successor columns when absent.,115
The Big -P.01-UP-20-April-26,MEP-B01-002,B01,Installation of Sleeves for ground floor Slab (+214.7),CON-B01-GR-1040,Shuttering for Slabs & Beams (B01) (GR),"E-APP-B01-GR-1030, E-APP-B01-GR-1020, CON-B01-GR-1030, CON-B01-BAS01-1140",,"CON-B01-GR-1060, CON-B01-GR-1060",8,2.0,10.0,Civil predecessor/successor logic read from relationship file; falls back to BL Schedule predecessor/successor columns when absent.,107
The Big -P.01-UP-20-April-26,MEP-B01-003,B01,Installation of PVC conduits and boxes for stair 05 from (+205m to +210m),CON-B01-1ST-1040,"Shuttering for Slabs, Beams & Stairs (B01) (1st)","E-APP-B01-1ST-1030, E-APP-B01-1ST-1020, E-APP-B01-1ST-1010, CON-B01-1ST-1030, CON-B01-GR-1110, E-APP-B01-1ST-1010",,"CON-B01-1ST-1050, CON-B01-1ST-1050",12,2.0,14.0,Civil predecessor/successor logic read from relationship file; falls back to BL Schedule predecessor/successor columns when absent.,100
The Big -P.01-UP-20-April-26,MEP-B01-004,B01,Installation of PVC conduits and boxes for stair 05 from (+210m to +214.7m),CON-B01-1ST-1040,"Shuttering for Slabs, Beams & Stairs (B01) (1st)","E-APP-B01-1ST-1030, E-APP-B01-1ST-1020, E-APP-B01-1ST-1010, CON-B01-1ST-1030, CON-B01-GR-1110, E-APP-B01-1ST-1010",,"CON-B01-1ST-1050, CON-B01-1ST-1050",12,2.0,14.0,Civil predecessor/successor logic read from relationship file; falls back to BL Schedule predecessor/successor columns when absent.,100
The Big -P.01-UP-20-April-26,MEP-B02-001,B02,Installation of Sleeves for basement (1) Slab (+210m),CON-B02-SOG-1040,Shuttering & RFT for S.O.G (B02) (Sog),"CON-B02-SOG-1030, CON-B02-SOG-1030, CON-B01-SOG-1040, E-APP-B02-SOG-1010, E-APP-B02-SOG-1000, E-APP-B02-SOG-1010, P-MDEL-1150","CON-B02-SOG-1030: SS 5, CON-B02-SOG-1030: FF, CON-B01-SOG-1040: FS, E-APP-B02-SOG-1010: FS, E-APP-B02-SOG-1000: FS, E-APP-B02-SOG-1010: FF, P-MDEL-1150: FS","CON-B02-SOG-1050, CON-B02-SOG-1050, AB-SUB-B02-SOG-1000, AB-SUB-B02-SOG-1010",15,2.0,17.0,Civil predecessor/successor logic read from relationship file; falls back to BL Schedule predecessor/successor columns when absent.,115
The Big -P.01-UP-20-April-26,MEP-B02-002,B02,Installation of Sleeves for ground floor Slab (+214.7),CON-B02-GR-1040,Shuttering for Slabs & Beams (B02) (GR),"CON-B02-GR-1030, CON-B02-BAS01-1110, E-APP-B02-GR-1020, E-APP-B02-GR-1030",,"CON-B02-GR-1060, CON-B02-GR-1060",10,2.0,12.0,Civil predecessor/successor logic read from relationship file; falls back to BL Schedule predecessor/successor columns when absent.,107
The Big -P.01-UP-20-April-26,MEP-B02-003,B02,Installation of PVC conduits and boxes for stair 02 (+205m to +210m),CON-B02-1ST-1040,"Shuttering for Slabs, Beams & Stairs (B02) (1st)","E-APP-B02-1ST-1030, E-APP-B02-1ST-1020, E-APP-B02-1ST-1010, CON-B02-1ST-1030, CON-B02-GR-1110",,"CON-B02-1ST-1050, CON-B02-1ST-1050",12,2.0,14.0,Civil predecessor/successor logic read from relationship file; falls back to BL Schedule predecessor/successor columns when absent.,100
The Big -P.01-UP-20-April-26,MEP-B02-004,B02,Installation of PVC conduits and boxes for stair 02 from (+210m to +214.7m),CON-B02-1ST-1040,"Shuttering for Slabs, Beams & Stairs (B02) (1st)","E-APP-B02-1ST-1030, E-APP-B02-1ST-1020, E-APP-B02-1ST-1010, CON-B02-1ST-1030, CON-B02-GR-1110",,"CON-B02-1ST-1050, CON-B02-1ST-1050",12,2.0,14.0,Civil predecessor/successor logic read from relationship file; falls back to BL Schedule predecessor/successor columns when absent.,100
The Big -P.01-UP-20-April-26,MEP-B03-001,B03,Installation of Sleeves for basement (1) Slab (+210m),CON-B03-SOG-1040,Shuttering & RFT for S.O.G (B03) (sog),"CON-B03-SOG-1030, CON-B03-SOG-1030, E-APP-B03-SOG-1010, E-APP-B03-SOG-1000, P-MDEL-1150","CON-B03-SOG-1030: SS 5, CON-B03-SOG-1030: FF, E-APP-B03-SOG-1010: FS, E-APP-B03-SOG-1000: FS, P-MDEL-1150: FS","CON-B03-SOG-1050, CON-B03-SOG-1050, CON-B04-SOG-1040, AB-SUB-B03-SOG-1000",10,2.0,12.0,Civil predecessor/successor logic read from relationship file; falls back to BL Schedule predecessor/successor columns when absent.,115
The Big -P.01-UP-20-April-26,MEP-B03-002,B03,Installation of Sleeves for ground floor Slab (+214.7),CON-B03-GR-1040,Shuttering for Slabs & Beams (B03) (GR),"E-APP-B03-GR-1030, E-APP-B03-GR-1020, CON-B03-GR-1030, CON-B03-BAS01-1110",,"CON-B03-GR-1050, CON-B03-GR-1060, CON-B03-GR-1070",7,2.0,9.0,Civil predecessor/successor logic read from relationship file; falls back to BL Schedule predecessor/successor columns when absent.,107
