project_id,Coding No.,Supplier,Total Quantity,Date of delivery,Unnamed: 4
The Big -P.01-UP-20-April-26,SAMCO-PCO-MIR-STR-056-R01,Contractor / Samco,11.975,06-Jan-26,
The Big -P.01-UP-20-April-26,SAMCO-PCO-MIR-STR-057-R01,Contractor / Samco,30.625,13-Jan-26,
The Big -P.01-UP-20-April-26,SAMCO-PCO-MIR-STR-058-R01,Contractor / Samco,69.425,15-Jan-26,
The Big -P.01-UP-20-April-26,SAMCO-PCO-MIR-STR-061-R00,Contractor / Samco,43.047,26-Jan-26,
The Big -P.01-UP-20-April-26,SAMCO-PCO-MIR-STR-062-R00,Contractor / Samco,19.61,27-Jan-26,
The Big -P.01-UP-20-April-26,SAMCO-PCO-MIR-STR-063-R00,Contractor / Samco,101.74,29-Jan-26,
The Big -P.01-UP-20-April-26,SAMCO-PCO-MIR-STR-064-R00,Contractor / Samco,13.705,31-Jan-26,
The Big -P.01-UP-20-April-26,SAMCO-PCO-MIR-STR-065-R00,Contractor / Samco,88.66,09-Feb-26,
The Big -P.01-UP-20-April-26,SAMCO-PCO-MIR-STR-066-R00,Contractor / Samco,20.013,26-Jan-26,
The Big -P.01-UP-20-April-26,SAMCO-PCO-MIR-STR-071-R00,Contractor / Samco,5.925,15-Feb-26,
The Big -P.01-UP-20-April-26,SAMCO-PCO-MIR-STR-072-R00,Contractor / Samco,2.01,16-Feb-26,
The Big -P.01-UP-20-April-26,SAMCO-PCO-MIR-STR-073-R00,Contractor / Samco,29.67,17-Feb-26,
The Big -P.01-UP-20-April-26,SAMCO-PCO-MIR-STR-074-R00,Contractor / Samco,15.62,17-Feb-26,
The Big -P.01-UP-20-April-26,SAMCO-PCO-MIR-STR-075-R00,Contractor / Samco,5.765,18-Feb-26,
The Big -P.01-UP-20-April-26,SAMCO-PCO-MIR-STR-076-R00,Contractor / Samco,1.08,15-Feb-26,
The Big -P.01-UP-20-April-26,SAMCO-PCO-MIR-STR-077-R00,Contractor / Samco,78.74,06-Apr-26,
The Big -P.01-UP-20-April-26,SAMCO-PCO-MIR-STR-078-R00,Contractor / Samco,19.68,19-Apr-26,
The Big -P.01-UP-20-April-26,SAMCO-PCO-MIR-STR-079-R00,Contractor / Samco,7.775,20-Apr-26,
