project_id,Activity ID,Activity Name,Original Duration,Start,Finish,Approved structural slab shop drawings,Re-Start,Finish.1,Delayed days,Note
The Big -P.01-UP-20-April-26,                E-SUB-B01-BAS02-1030,Submittal for Beams Conc. Dim.  & RFT DWGs (B01) (Bas 02),18,20-Nov-25,16-Feb-26,30-Apr-26,1-May-26,19-May-26,-92,Significant structural design update received; Technical Office found dimensional and spatial clashes between revised columns and slab openings 0n  24-March-2026 and then on 30-April-2026
The Big -P.01-UP-20-April-26,                E-SUB-B01-BAS02-1040,Submittal for Slabs Conc. Dim.  & RFT DWGs (B01) (Bas 02),18,30-Nov-25,22-Feb-26,30-Apr-26,2-May-26,20-May-26,-87,Significant structural design update received; Technical Office found dimensional and spatial clashes between revised columns and slab openings 0n  24-March-2026 and then on 30-April-2026
The Big -P.01-UP-20-April-26,                E-SUB-B01-BAS01-1030,Submittal for Beams Conc. Dim.  & RFT DWGs (B01) (Bas 01),18,2-Nov-25,10-Mar-26,30-Apr-26,9-May-26,27-May-26,-78,Significant structural design update received; Technical Office found dimensional and spatial clashes between revised columns and slab openings 0n  24-March-2026 and then on 30-April-2026
The Big -P.01-UP-20-April-26,                E-SUB-B01-BAS01-1040,Submittal for Slabs Conc. Dim.  & RFT DWGs (B01) (Bas 01),18,5-Nov-25,31-Mar-26,30-Apr-26,10-May-26,28-May-26,-58,Significant structural design update received; Technical Office found dimensional and spatial clashes between revised columns and slab openings 0n  24-March-2026 and then on 30-April-2026
The Big -P.01-UP-20-April-26,                E-SUB-B02-BAS02-1020,Submittal for Beams Conc. Dim.& RFT DWGs (B02) (Bas 02),18,22-Oct-25,11-Nov-25,30-Apr-26,3-May-26,21-May-26,-191,Significant structural design update received; Technical Office found dimensional and spatial clashes between revised columns and slab openings 0n  24-March-2026 and then on 30-April-2026
The Big -P.01-UP-20-April-26,                E-SUB-B02-BAS02-1030,Submittal for Slabs Conc. Dim.& RFT DWGs (B02) (Bas 02),18,26-Oct-25,22-Feb-26,30-Apr-26,4-May-26,22-May-26,-89,Significant structural design update received; Technical Office found dimensional and spatial clashes between revised columns and slab openings 0n  24-March-2026 and then on 30-April-2026
The Big -P.01-UP-20-April-26,                E-SUB-B02-BAS01-1020,Submittal for Beams Conc. Dim.  & RFT DWGs (B02) (Bas 01),18,2-Nov-25,23-Nov-25,30-Apr-26,11-May-26,29-May-26,-187,Significant structural design update received; Technical Office found dimensional and spatial clashes between revised columns and slab openings 0n  24-March-2026 and then on 30-April-2026
The Big -P.01-UP-20-April-26,                E-SUB-B02-BAS01-1030,Submittal for Slabs Conc. Dim.  & RFT DWGs (B02) (Bas 01),18,5-Nov-25,31-Mar-26,30-Apr-26,12-May-26,30-May-26,-60,Significant structural design update received; Technical Office found dimensional and spatial clashes between revised columns and slab openings 0n  24-March-2026 and then on 30-April-2026
The Big -P.01-UP-20-April-26,                E-SUB-B03-BAS02-1030,Submittal for Slabs Conc. Dim.  & RFT DWGs (B03) (Bas 02),18,01-Mr-26 ,10-Mar-26,30-Apr-26,5-May-26,23-May-26,-74,Significant structural design update received; Technical Office found dimensional and spatial clashes between revised columns and slab openings 0n  24-March-2026 and then on 30-April-2026
The Big -P.01-UP-20-April-26,                E-SUB-B03-BAS02-1020,Submittal for Beams Conc. Dim.  & RFT DWGs (B03) (Bas 02),18,01-Mr-26 ,10-Mar-26,30-Apr-26,6-May-26,24-May-26,-75,Significant structural design update received; Technical Office found dimensional and spatial clashes between revised columns and slab openings 0n  24-March-2026 and then on 30-April-2026
The Big -P.01-UP-20-April-26,                E-SUB-B03-BAS01-1020,Submittal for Beams Conc. Dim.  & RFT DWGs (B03) (Bas 01),18,01-Mr-26 ,10-Mar-26,30-Apr-26,13-May-26,31-May-26,-82,Significant structural design update received; Technical Office found dimensional and spatial clashes between revised columns and slab openings 0n  24-March-2026 and then on 30-April-2026
The Big -P.01-UP-20-April-26,                E-SUB-B03-BAS01-1030,Submittal for Slabs Conc. Dim.  & RFT DWGs (B03) (Bas 01),10,02-Mr-26 ,12-Mar-26,30-Apr-26,14-May-26,24-May-26,-73,Significant structural design update received; Technical Office found dimensional and spatial clashes between revised columns and slab openings 0n  24-March-2026 and then on 30-April-2026
The Big -P.01-UP-20-April-26,                E-SUB-B04-BAS02-1040,Submittal for Slabs Conc. Dim.  & RFT DWGs (B04) (Bas 02),18,9-Feb-26,26-Feb-26,30-Apr-26,7-May-26,25-May-26,-88,Significant structural design update received; Technical Office found dimensional and spatial clashes between revised columns and slab openings 0n  24-March-2026 and then on 30-April-2026
The Big -P.01-UP-20-April-26,                E-SUB-B04-BAS02-1030,Submittal for Beams Conc. Dim.  & RFT DWGs (B04) (Bas 02),18,01-Mr-26 ,10-Mar-26,30-Apr-26,8-May-26,26-May-26,-77,Significant structural design update received; Technical Office found dimensional and spatial clashes between revised columns and slab openings 0n  24-March-2026 and then on 30-April-2026
The Big -P.01-UP-20-April-26,                E-SUB-B04-BAS01-1040,Submittal for Slabs Conc. Dim.  & RFT DWGs (B04) (Bas 01),18,9-Feb-26,26-Feb-26,30-Apr-26,15-May-26,2-Jun-26,-96,Significant structural design update received; Technical Office found dimensional and spatial clashes between revised columns and slab openings 0n  24-March-2026 and then on 30-April-2026
The Big -P.01-UP-20-April-26,                E-SUB-B04-BAS01-1030,Submittal for Beams Conc. Dim.  & RFT DWGs (B04) (Bas 01),18,01-Mr-26 ,10-Mar-26,30-Apr-26,16-May-26,3-Jun-26,-85,Significant structural design update received; Technical Office found dimensional and spatial clashes between revised columns and slab openings 0n  24-March-2026 and then on 30-April-2026
