project_id,Activity ID,Activity Name,Resource ID,Register Building / Zone Allocation,Drive Activity Dates,BL Start,BL Finish,Start,Finish,Allocation Date,Allocation Ref,Act. Start Status,Act. Finish Status,Original Duration,Actual Duration,Deviated Duration,Budgeted Units,Available units supplied by client vs Actual units of activities,Delayed duration in days due to steel un avilability in site,Remaining Units,Units % Complete,Budgeted Units / Time,Responsibility,Reason for Delay,Responsibility.1,Reason for Delay.1,Note,BL critical Path,BL Longest Path,Updated Critical Path,Updated Longest Path
The Big -P.01-UP-20-April-26,CON-B03-FOOT-1050,RFT for RC Raft & Footings (B03) (footing),BIG.Q.Rft,B03,Yes,5-Jan-26,17-Jan-26,1-Jan-26,21-Jn-26 ,9-Dec-25,ALLOC-001,Start,Finished,10,16,-8,195.4,392.2,0,0.0,1.0,19.54,,,,,,,,,
The Big -P.01-UP-20-April-26,CON-B04-WT-1070,RFT for RC Raft (B04) (Water Tank),BIG.Q.Rft,B04,Yes,3-Dec-25,8-Dec-25,1-Jan-26,17-Jn-26 ,9-Dec-25,ALLOC-002,Start,Finished,5,12,2,45.0,347.2,0,0.0,1.0,9.0,,,,,,,,,
The Big -P.01-UP-20-April-26,CON-B02-FOOT-1050,RFT for RC Raft & Footings (B02) (footing),BIG.Q.Rft,B02,Yes,20-Dec-25,30-Dec-25,3-Jan-26,21-Jn-26 ,9-Dec-25,ALLOC-003,Start,Finished,10,15,-7,155.5,191.7,0,0.0,1.0,15.55,,,,,,,,,
The Big -P.01-UP-20-April-26,CON-B03-FOOT-1070,RFT for Columns & Walls Below SOG (B03) (footing),BIG.Q.Rft,B03,Yes,12-Jan-26,17-Jan-26,26-Jan-26,2-Mar-26,9-Dec-25,ALLOC-004,Start,Finished,5,31,-48,141.5,50.2,0,0.0,1.0,28.3,,,,,,,,,
The Big -P.01-UP-20-April-26,CON-B02-FOOT-1070,RFT for Columns & Walls Below SOG (B02) (footing),BIG.Q.Rft,B02,Yes,23-Dec-25,29-Dec-25,28-Jan-26,4-Mar-26,9-Dec-25,ALLOC-005,Start,Finished,6,30,-50,109.0,-58.8,-24,0.0,1.0,18.16666667,Employer,no RFT avilable,,,,,,,
The Big -P.01-UP-20-April-26,CON-B01-FOOT-1050,RFT for RC Raft & Footings (B01) (footing),BIG.Q.Rft,B01,Yes,6-Dec-25,18-Dec-25,1-Feb-26,5-Mar-26,9-Dec-25,ALLOC-005A,Start,Finished,14,28,0,114.5,-173.3,-14,0.0,1.0,8.178571429,Employer,no RFT avilable,Employer,no RFT avilable,9 DAYS DELAYS DUE TO NO RFT Available till delivered on 14-feb-2026,,,,
The Big -P.01-UP-20-April-26,CON-B01-FOOT-1070,RFT for Columns & Walls Below SOG (B01) (footing),BIG.Q.Rft,B01,Yes,9-Dec-25,17-Dec-25,28-Feb-26,6-May-26,14-Feb-26,ALLOC-006,Start,In Progress,8,52,-93,178.5,19.315,0,0.3,0.85,22.3125,,,,,,,,,
The Big -P.01-UP-20-April-26,CON-B03-BAS02-1010,"RFT for Walls, Col. & Cores (B03) (Bas 02)",BIG.Q.Rft,B03,Yes,22-Jan-26,5-Feb-26,5-Mar-26,11-Mar-26,14-Feb-26,ALLOC-008A,Start,Finished,12,5,40,30.3,-10.985,0,0.0,1.0,2.525,,,,,,,,,
The Big -P.01-UP-20-April-26,CON-B04-WT-1110,RFT for Walls (B04) (Water Tank),BIG.Q.Rft,B04,Yes,13-Dec-25,21-Dec-25,4-Mar-26,14-Apr-26,14-Feb-26,ALLOC-008B,Start,Finished,8,33,2,48.7,-59.685,-25,0.0,1.0,6.0875,Employer,no RFT avilable,,,,,,,
The Big -P.01-UP-20-April-26,CON-B04-FOOT-1050,RFT for RC Raft & Footings (B04) (footing),BIG.Q.Rft,B04,Yes,15-Jan-26,24-Jan-26,1-Mar-26,7-May-26,14-Feb-26,ALLOC-007,Start,In Progress,8,51,-71,234.0,-293.685,-43,103.76,0.65,29.25,Employer,no RFT avilable,Employer,no RFT avilable,70 DAYS DELAYS DUE TO NO RFT Available,,,,
The Big -P.01-UP-20-April-26,CON-B04-FOOT-1070,RFT for Columns & Walls Below SOG (B04) (footing),BIG.Q.Rft,B04,Yes,21-Jan-26,27-Jan-26,10-Mar-26,6-May-26,14-Feb-26,ALLOC-008,Start,In Progress,5,53,-42,142.0,-435.685,-48,1.1,0.65,28.4,Employer,no RFT avilable,Employer,no RFT avilable,69 DAYS DELAYS DUE TO NO RFT Available,,,,
The Big -P.01-UP-20-April-26,CON-B02-BAS02-1010,"RFT for Walls, Col. & Cores (B02) (Bas 02)",BIG.Q.Rft,B02,Yes,5-Jan-26,19-Jan-26,21-Apr-26,04-My-26 ,14-Feb-26,ALLOC-009,Start,Finished,12,12,0,40.0,-475.685,0,0.0,1.0,3.333333333,,,Employer,no RFT avilable,13 DAYS DELAYS DUE TO NO RFT Available,,,,
