project_id,Activity ID,Activity Name,WBS,Baseline Start,Baseline Finish,Start,Finish,Actual Start,Actual Finish,Remaining Duration,Total Float,Free Float,Critical,Longest Path,Predecessors,Successors,Remaining Units,Budgeted Units,Physical % Complete
The Big -P.01-UP-20-April-26,KD-MS-1000,Project Start Date,The Big - P.01 - UP-24-MAY-26.KD.MI,11-Sep-25,,11-Sep-25,,11-Sep-25,,0,0,0,No,Yes,,"KD-MS-1010, KD-MS-1020, P-MS-1020, P-MS-1010, P-MS-1030, P-MS-1040, P-MS-1050, P-MS-1000, KD-MOB-1000, KD-MOB-1010, KD-MOB-1020, P-MS-1060",0.0,0,1.0
The Big -P.01-UP-20-April-26,KD-MS-1050,Project Finish Date,The Big - P.01 - UP-24-MAY-26.KD.MI,,10-Apr-27,,02-Sep-27,,,0,-144,0,Yes,Yes,HO-1000,,0.0,0,0.0
The Big -P.01-UP-20-April-26,KD-MS-1040,Ground Works Finish Date,The Big - P.01 - UP-24-MAY-26.KD.MI,,11-May-26,,23-Sep-26,,,0,-134,0,Yes,No,"CON-B01-GR-1090, CON-B02-GR-1100, CON-B04-GR-1080, CON-B03-GR-1080",CON-B04-1ST-1000,0.0,0,0.0
The Big -P.01-UP-20-April-26,KD-MS-1010,Contract Agreement,The Big - P.01 - UP-24-MAY-26.KD.MI,11-Sep-25,,11-Sep-25,,11-Sep-25,,0,0,0,No,Yes,KD-MS-1000,"KD-MOB-1000, KD-MOB-1010, KD-MOB-1020, E-DR-1000",0.0,0,1.0
The Big -P.01-UP-20-April-26,KD-MS-1020,IFC Drawing Package,The Big - P.01 - UP-24-MAY-26.KD.MI,11-Sep-25,,11-Sep-25,,11-Sep-25,,0,0,0,No,Yes,KD-MS-1000,E-DR-1000,0.0,0,1.0
The Big -P.01-UP-20-April-26,KD-MOB-1000,Surveying Works,The Big - P.01 - UP-24-MAY-26.KD.MO,11-Sep-25,28-Sep-25,13-Sep-25,29-Sep-25,13-Sep-25,29-Sep-25,0,0,0,No,Yes,"KD-MS-1000, KD-MS-1010","CON-B04-WT-1000, KD-MOB-1010",0.0,0,1.0
The Big -P.01-UP-20-April-26,KD-MOB-1010,Equipment Mobilization,The Big - P.01 - UP-24-MAY-26.KD.MO,11-Sep-25,28-Sep-25,13-Sep-25,29-Sep-25,13-Sep-25,29-Sep-25,0,0,0,No,Yes,"KD-MS-1000, KD-MS-1010, KD-MOB-1000","CON-B04-WT-1000, KD-MOB-1020",0.0,0,1.0
The Big -P.01-UP-20-April-26,KD-MOB-1020,Site Preparation,The Big - P.01 - UP-24-MAY-26.KD.MO,11-Sep-25,28-Sep-25,13-Sep-25,29-Sep-25,13-Sep-25,29-Sep-25,0,0,0,No,Yes,"KD-MS-1000, KD-MS-1010, KD-MOB-1010","CON-EW-B01-1000, CON-B04-WT-1000",0.0,30,1.0
The Big -P.01-UP-20-April-26,E-DR-1000,Design Review,The Big - P.01 - UP-24-MAY-26.EN.1,11-Sep-25,09-Nov-25,11-Sep-25,09-Nov-25,11-Sep-25,09-Nov-25,0,0,0,No,Yes,"KD-MS-1020, KD-MS-1010","E-SUB-B01-BAS02-1000, E-SUB-B01-SOG-1000, E-SUB-B01-BAS01-1000, E-SUB-B01-BAS01-1010, E-SUB-B01-BAS01-1020, E-SUB-B01-BAS01-1030, E-SUB-B01-BAS01-1040, E-SUB-B01-GR-1000, E-SUB-B01-GR-1010, E-SUB-B01-GR-1020, E-SUB-B01-GR-1030, E-SUB-B01-1ST-1000, E-SUB-B01-1ST-1010, E-SUB-B01-1ST-1020, E-SUB-B01-1ST-1030, E-SUB-B01-2ND-1000, E-SUB-B01-2ND-1010, E-SUB-B01-2ND-1020, E-SUB-B01-2ND-1030, E-SUB-B01-3RD-1000, E-SUB-B01-3RD-1010, E-SUB-B01-3RD-1020, E-SUB-B01-3RD-1030, E-SUB-B01-4TH-1000, E-SUB-B01-4TH-1010, E-SUB-B01-4TH-1020, E-SUB-B01-4TH-1030, E-SUB-B01-5TH-1000, E-SUB-B01-5TH-1010, E-SUB-B01-5TH-1020, E-SUB-B01-5TH-1030, E-SUB-B01-6TH-1000, E-SUB-B01-6TH-1010, E-SUB-B01-6TH-1020, E-SUB-B01-6TH-1030, E-SUB-B01-7TH-1000, E-SUB-B01-7TH-1010, E-SUB-B01-7TH-1020, E-SUB-B01-7TH-1030, E-SUB-B01-8TH-1000, E-SUB-B01-8TH-1010, E-SUB-B01-8TH-1020, E-SUB-B01-8TH-1030, E-SUB-B01-RF-1000, E-SUB-B01-RF-1010, E-SUB-B01-RF-1020, E-SUB-B02-BAS02-1000, E-SUB-B02-BAS02-1010, E-SUB-B02-BAS02-1020, E-SUB-B02-BAS02-1030, E-SUB-B02-SOG-1000, E-SUB-B02-SOG-1010, E-SUB-B02-BAS01-1000, E-SUB-B02-BAS01-1010, E-SUB-B02-BAS01-1020, E-SUB-B02-BAS01-1030, E-SUB-B02-GR-1000, E-SUB-B02-GR-1010, E-SUB-B02-GR-1020, E-SUB-B02-GR-1030, E-SUB-B02-1ST-1000, E-SUB-B02-1ST-1010, E-SUB-B02-1ST-1020, E-SUB-B02-1ST-1030, E-SUB-B02-2ND-1000, E-SUB-B02-2ND-1010, E-SUB-B02-2ND-1020, E-SUB-B02-2ND-1030, E-SUB-B02-3RD-1000, E-SUB-B02-3RD-1010, E-SUB-B02-3RD-1020, E-SUB-B02-3RD-1030, E-SUB-B02-4TH-1000, E-SUB-B02-4TH-1010, E-SUB-B02-4TH-1020, E-SUB-B02-4TH-1030, E-SUB-B02-RF-1000, E-SUB-B02-RF-1010, E-SUB-B02-RF-1020, E-SUB-B03-BAS02-1000, E-SUB-B03-BAS02-1010, E-SUB-B03-BAS02-1020, E-SUB-B03-BAS02-1030, E-SUB-B03-SOG-1000, E-SUB-B03-SOG-1010, E-SUB-B03-BAS01-1000, E-SUB-B03-BAS01-1010, E-SUB-B03-BAS01-1020, E-SUB-B03-BAS01-1030, E-SUB-B03-GR-1000, E-SUB-B03-GR-1010, E-SUB-B03-GR-1020, E-SUB-B03-GR-1030, E-SUB-B03-1ST-1000, E-SUB-B03-1ST-1010, E-SUB-B03-1ST-1020, E-SUB-B03-1ST-1030, E-SUB-B03-2ND-1000, E-SUB-B03-2ND-1010, E-SUB-B03-2ND-1020, E-SUB-B03-2ND-1030, E-SUB-B03-3RD-1000, E-SUB-B03-3RD-1010, E-SUB-B03-3RD-1020, E-SUB-B03-3RD-1030, E-SUB-B03-4TH-1000, E-SUB-B03-4TH-1010, E-SUB-B03-4TH-1020, E-SUB-B03-4TH-1030, E-SUB-B03-RF-1000, E-SUB-B03-RF-1010, E-SUB-B03-RF-1020, E-SUB-B04-BAS02-1000, E-SUB-B04-BAS02-1010, E-SUB-B04-BAS02-1020, E-SUB-B04-BAS02-1030, E-SUB-B04-BAS02-1040, E-SUB-B04-SOG-1000, E-SUB-B04-SOG-1010, E-SUB-B04-BAS01-1000, E-SUB-B04-BAS01-1010, E-SUB-B04-BAS01-1020, E-SUB-B04-BAS01-1030, E-SUB-B04-BAS01-1040, E-SUB-B04-GR-1000, E-SUB-B04-GR-1010, E-SUB-B04-GR-1020, E-SUB-B04-GR-1030, E-SUB-B04-1ST-1000, E-SUB-B04-1ST-1010, E-SUB-B04-1ST-1020, E-SUB-B04-1ST-1030, E-SUB-B04-2ND-1000, E-SUB-B04-2ND-1010, E-SUB-B04-2ND-1020, E-SUB-B04-2ND-1030, E-SUB-B04-3RD-1000, E-SUB-B04-3RD-1010, E-SUB-B04-3RD-1020, E-SUB-B04-3RD-1030, E-SUB-B04-4TH-1000, E-SUB-B04-4TH-1010, E-SUB-B04-4TH-1020, E-SUB-B04-4TH-1030, E-SUB-B04-5TH-1000, E-SUB-B04-5TH-1020, E-SUB-B04-5TH-1030, E-SUB-B04-5TH-1010, E-SUB-B04-6TH-1000, E-SUB-B04-6TH-1010, E-SUB-B04-6TH-1020, E-SUB-B04-6TH-1030, E-SUB-B04-7TH-1000, E-SUB-B04-7TH-1010, E-SUB-B04-7TH-1020, E-SUB-B04-7TH-1030, E-SUB-B04-8TH-1000, E-SUB-B04-8TH-1010, E-SUB-B04-8TH-1020, E-SUB-B04-8TH-1030, E-SUB-B04-RF-1000, E-SUB-B04-RF-1010, E-SUB-B04-RF-1020, E-SUB-B01-FOOT-1000, E-SUB-B01-FOOT-1010, E-SUB-B01-FOOT-1020, E-SUB-B01-BAS02-1040, E-SUB-B01-BAS02-1030, E-SUB-B01-BAS02-1010, E-SUB-B01-BAS02-1020, E-SUB-B01-SOG-1010, E-SUB-B01-REP-1000, E-SUB-B01-FOOT-1030, E-SUB-B02-REP-1000, E-SUB-B02-FOOT-1000, E-SUB-B02-FOOT-1030, E-SUB-B02-FOOT-1010, E-SUB-B02-FOOT-1020, E-SUB-B03-REP-1000, E-SUB-B03-FOOT-1010, E-SUB-B03-FOOT-1000, E-SUB-B03-FOOT-1020, E-SUB-B03-FOOT-1030, E-SUB-B04-REP-1000, E-SUB-B04-FOOT-1000, E-SUB-B04-FOOT-1010, E-SUB-B04-FOOT-1020, E-SUB-B04-FOOT-1030, E-SUB-B04-WT-1000, E-SUB-B04-WT-1010, E-SUB-B04-WT-1020, E-SUB-B04-WT-1030, E-SUB-B04-WT-1040",0.0,0,1.0
The Big -P.01-UP-20-April-26,E-SUB-B01-REP-1000,Submittal for General Replacement Plan & Typical Sections for Replacement / Backfilling DWGs  (B01),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUB.1,11-Sep-25,01-Oct-25,11-Sep-25,13-Nov-25,11-Sep-25,13-Nov-25,0,0,0,No,Yes,E-DR-1000,"E-APP-B01-REP-1000, E-APP-B01-REP-1000",0.0,0,1.0
