project_id,Activity ID,Activity Name,Predecessors,Predecessor Details,Successors
The Big -P.01-UP-20-April-26,E-SUB-B04-WT-1020,Submittal for RC Raft RFT DWGs (B04) (Water Tank),"E-DR-1000, E-SUB-B04-WT-1010","E-DR-1000: SS 9, E-SUB-B04-WT-1010: SS 3","E-APP-B04-WT-1020, E-APP-B04-WT-1020, E-SUB-B04-WT-1030"
The Big -P.01-UP-20-April-26,E-SUB-B03-SOG-1010,Submittal for S.O.G RFT DWGs (B03) (Sog),"E-DR-1000, E-SUB-B03-SOG-1000","E-DR-1000: FS 80, E-SUB-B03-SOG-1000: SS 3","E-APP-B03-SOG-1010, E-APP-B03-SOG-1010"
The Big -P.01-UP-20-April-26,E-SUB-B01-SOG-1010,Submittal for S.O.G RFT DWGs (B01) (Sog),"E-DR-1000, E-SUB-B01-SOG-1000","E-DR-1000: FS 123, E-SUB-B01-SOG-1000: SS 3","E-APP-B01-SOG-1010, E-APP-B01-SOG-1010"
The Big -P.01-UP-20-April-26,E-SUB-B02-SOG-1010,Submittal for S.O.G RFT DWGs (B02) (Sog),"E-DR-1000, E-SUB-B02-SOG-1000","E-DR-1000: FS 133, E-SUB-B02-SOG-1000: SS 3","E-APP-B02-SOG-1010, E-APP-B02-SOG-1010"
The Big -P.01-UP-20-April-26,E-APP-B01-SOG-1010,Approval for S.O.G RFT DWGs (B01) (Sog),"E-SUB-B01-SOG-1010, E-SUB-B01-SOG-1010","E-SUB-B01-SOG-1010: SS 12, E-SUB-B01-SOG-1010: FF 10",CON-B01-SOG-1040
The Big -P.01-UP-20-April-26,E-APP-B02-SOG-1010,Approval for S.O.G RFT DWGs (B02) (Sog),"E-SUB-B02-SOG-1010, E-SUB-B02-SOG-1010","E-SUB-B02-SOG-1010: SS 12, E-SUB-B02-SOG-1010: FF 10","CON-B02-SOG-1040, CON-B02-SOG-1040"
The Big -P.01-UP-20-April-26,E-APP-B03-SOG-1010,Approval for S.O.G RFT DWGs  (B03) (Sog),"E-SUB-B03-SOG-1010, E-SUB-B03-SOG-1010","E-SUB-B03-SOG-1010: SS 12, E-SUB-B03-SOG-1010: FF 10",CON-B03-SOG-1040
The Big -P.01-UP-20-April-26,E-APP-B04-WT-1020,Approval for RC Raft RFT DWGs (B04) (Water Tank),"E-SUB-B04-WT-1020, E-SUB-B04-WT-1020","E-SUB-B04-WT-1020: SS 12, E-SUB-B04-WT-1020: FF 10",CON-B04-WT-1070
The Big -P.01-UP-20-April-26,AB-SUB-B04-WT-1020,Submittal for RC Raft RFT DWGs As-Built Drawing (B04) (Water Tank),CON-B04-WT-1070,CON-B04-WT-1070: FS,"AB-APP-B04-WT-1020, AB-APP-B04-WT-1020"
The Big -P.01-UP-20-April-26,AB-SUB-B03-SOG-1010,Submittal for S.O.G RFT DWGs As-Built Drawing (B03) (Sog),CON-B03-SOG-1050,CON-B03-SOG-1050: FS,"AB-APP-B03-SOG-1010, AB-APP-B03-SOG-1010"
